@timestamp,@message,@logStream,@log
2023-10-18 17:10:50.609,"{
  ""level"": ""info"",
  ""message"": ""Called ShopifyGQL, adding tag history"",
  ""metadata"": {
    ""orderId"": ""6530119822b4170008e5fc01"",
    ""applyResult"": {
      ""data"": {
        ""orderTagsAdd"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206906634409""
          },
          ""userErrors"": []
        },
        ""orderTagsRemove"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206906634409""
          },
          ""userErrors"": []
        }
      },
      ""extensions"": {
        ""cost"": {
          ""requestedQueryCost"": 20,
          ""actualQueryCost"": 20,
          ""throttleStatus"": {
            ""maximumAvailable"": 10000,
            ""currentlyAvailable"": 9980,
            ""restoreRate"": 500
          }
        }
      }
    },
    ""history"": [
      ""2023/10/20"",
      ""Nationwide"",
      ""08:00 - 20:00"",
      ""Nationwide""
    ]
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:50.607,"{
  ""level"": ""info"",
  ""message"": ""GQL Request ID"",
  ""metadata"": {
    ""gqlRequestId"": ""cef5c8f2-865c-4693-a6d4-23e00e846e42""
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:50.299,"{
  ""level"": ""info"",
  ""message"": ""Calling ShopifyGQL"",
  ""metadata"": {
    ""orderId"": ""6530119822b4170008e5fc01""
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:50.299,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530119822b4170008e5fc01"",
    ""addTags"": [
      ""2023/10/20"",
      ""Nationwide"",
      ""08:00 - 20:00"",
      ""Nationwide""
    ],
    ""removeTags"": []
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:50.298,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530119822b4170008e5fc01""
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:50.279,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-19T23:00:00.000Z""
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:50.156,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530119822b4170008e5fc01"",
  ""metadata"": {}
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:49.994,"{
  ""level"": ""error"",
  ""message"": {
    ""name"": ""AggregationError"",
    ""message"": ""No shipping methods"",
    ""errorCode"": ""E003"",
    ""data"": null
  },
  ""metadata"": {
    ""storeId"": ""tco-demo-01.myshopify.com"",
    ""postcode"": ""S101BN"",
    ""lineItems"": [
      {
        ""productId"": ""gid://shopify/Product/7184026763433"",
        ""variantId"": ""gid://shopify/ProductVariant/41206838657193""
      },
      {
        ""productId"": ""gid://shopify/Product/5252284448920"",
        ""variantId"": ""gid://shopify/ProductVariant/34604251512984"",
        ""quantity"": 1,
        ""sku"": ""phpm5"",
        ""weight"": 0
      },
      {
        ""productId"": ""gid://shopify/Product/520857026619"",
        ""variantId"": ""gid://shopify/ProductVariant/6867296780347"",
        ""quantity"": 1,
        ""sku"": ""DCBLS"",
        ""weight"": 30000
      }
    ]
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:37.128,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:10:37.073,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00""
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:10:37.037,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-19T23:00:00.000Z""
  }
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:10:36.896,"{
  ""level"": ""error"",
  ""message"": {
    ""name"": ""AggregationError"",
    ""message"": ""No shipping methods"",
    ""errorCode"": ""E003"",
    ""data"": null
  },
  ""metadata"": {
    ""storeId"": ""tco-demo-01.myshopify.com"",
    ""postcode"": ""S101BN"",
    ""lineItems"": [
      {
        ""productId"": ""gid://shopify/Product/5252284448920"",
        ""variantId"": ""gid://shopify/ProductVariant/34604251512984"",
        ""quantity"": 1,
        ""sku"": ""phpm5"",
        ""weight"": 0
      },
      {
        ""productId"": ""gid://shopify/Product/520857026619"",
        ""variantId"": ""gid://shopify/ProductVariant/6867296780347"",
        ""quantity"": 1,
        ""sku"": ""DCBLS"",
        ""weight"": 30000
      }
    ]
  }
}",2023-10-18-1697648976556,977846025308:date-picker-cutters-production
2023-10-18 17:10:33.910,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530117f22b4170008e5fc00"",
  ""metadata"": {}
}",2023-10-18-1697649033353,977846025308:date-picker-cutters-production
2023-10-18 17:10:25.268,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:25.268,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00""
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:25.253,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-19T23:00:00.000Z""
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:25.219,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530117f22b4170008e5fc00"",
  ""metadata"": {}
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:24.340,"{
  ""level"": ""info"",
  ""message"": ""Called ShopifyGQL, adding tag history"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00"",
    ""applyResult"": {
      ""data"": {
        ""orderTagsAdd"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206906241193""
          },
          ""userErrors"": []
        },
        ""orderTagsRemove"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206906241193""
          },
          ""userErrors"": []
        }
      },
      ""extensions"": {
        ""cost"": {
          ""requestedQueryCost"": 20,
          ""actualQueryCost"": 20,
          ""throttleStatus"": {
            ""maximumAvailable"": 10000,
            ""currentlyAvailable"": 9980,
            ""restoreRate"": 500
          }
        }
      }
    },
    ""history"": [
      ""2023/10/20"",
      ""Nationwide""
    ]
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:24.338,"{
  ""level"": ""info"",
  ""message"": ""GQL Request ID"",
  ""metadata"": {
    ""gqlRequestId"": ""1610b403-765f-4c71-bbae-ed582157ea1c""
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:24.034,"{
  ""level"": ""info"",
  ""message"": ""Calling ShopifyGQL"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00""
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:24.033,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00""
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:24.033,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530117f22b4170008e5fc00"",
    ""addTags"": [
      ""2023/10/20"",
      ""Nationwide""
    ],
    ""removeTags"": []
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:23.979,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-19T23:00:00.000Z""
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
